source_id,address,price,beds,type,status,url
"9piWMzgb6pA","101 Clinton Ave Unit 3H, Mineola, NY 11501","290000","1","Stock Cooperative","Active","https://onekeymls.com/home-details/101-clinton-ave-unit-3h-mineola-ny-11501/9piWMzgb6pA"
"kwgJr1RUDyT","3 Birchwood Ct Unit 5G, Mineola, NY 11501","349000","1","Stock Cooperative","Active","https://onekeymls.com/home-details/3-birchwood-ct-unit-5g-mineola-ny-11501/kwgJr1RUDyT"
"664tZJw0EFx","177 Jerome Ave, Mineola, NY 11501","889000","3","Single Family Residence","Coming Soon","https://onekeymls.com/home-details/177-jerome-ave-mineola-ny-11501/664tZJw0EFx"
"6PCGUGar52Y","88 Windsor Ave, Mineola, NY 11501","2600000","","Industrial","Pending","https://onekeymls.com/home-details/88-windsor-ave-mineola-ny-11501/6PCGUGar52Y"
"Qi7n8DMSOs","4 Birchwood Ct Unit 1O, Mineola, NY 11501","335000","1","Stock Cooperative","Active","https://onekeymls.com/home-details/4-birchwood-ct-unit-1o-mineola-ny-11501/Qi7n8DMSOs"
"l54ncBURA71","465 Washington Pl, Mineola, NY 11501","849000","4","Single Family Residence","Active","https://onekeymls.com/home-details/465-washington-pl-mineola-ny-11501/l54ncBURA71"
"cqVtvcOz5Ua","2 Birchwood Ct Unit 1C, Mineola, NY 11501","365000","1","Stock Cooperative","Active","https://onekeymls.com/home-details/2-birchwood-ct-unit-1c-mineola-ny-11501/cqVtvcOz5Ua"
"kdsiardcTBw","220 Pomander Rd, Mineola, NY 11501","1780000","5","Single Family Residence","Active","https://onekeymls.com/home-details/220-pomander-rd-mineola-ny-11501/kdsiardcTBw"
"1wLkYUntbPj","149 Arlington St, Mineola, NY 11501","849000","3","Single Family Residence","Active","https://onekeymls.com/home-details/149-arlington-st-mineola-ny-11501/1wLkYUntbPj"
"hOL8Hw375tP","110 Barwick Blvd, Mineola, NY 11501","799990","4","Single Family Residence","Active","https://onekeymls.com/home-details/110-barwick-blvd-mineola-ny-11501/hOL8Hw375tP"
"gjjoSbSvBw0","120 Horton Hwy Unit C2, Mineola, NY 11501","190000","0","Stock Cooperative","Active","https://onekeymls.com/home-details/120-horton-hwy-unit-c2-mineola-ny-11501/gjjoSbSvBw0"
"8dZltnEQkHv","98 Albertson Pl, Mineola, NY 11501","749000","3","Single Family Residence","Active","https://onekeymls.com/home-details/98-albertson-pl-mineola-ny-11501/8dZltnEQkHv"
"9rI1DBhiWli","175 Latham Rd, Mineola, NY 11501","899000","5","Single Family Residence","Active","https://onekeymls.com/home-details/175-latham-rd-mineola-ny-11501/9rI1DBhiWli"
"gJYIXV4MQNL","73 Liberty Ave, Mineola, NY 11501","759000","4","Single Family Residence","Active","https://onekeymls.com/home-details/73-liberty-ave-mineola-ny-11501/gJYIXV4MQNL"
"3nG4uugmhJa","101 Clinton Ave Unit 1L, Mineola, NY 11501","489000","2","Stock Cooperative","Pending","https://onekeymls.com/home-details/101-clinton-ave-unit-1l-mineola-ny-11501/3nG4uugmhJa"
"1jDYSlvULR0","374 Andrews Rd, Mineola, NY 11501","949000","3","Single Family Residence","Pending","https://onekeymls.com/home-details/374-andrews-rd-mineola-ny-11501/1jDYSlvULR0"
"iIcV1HPpJfh","267 Hill St, Mineola, NY 11501","949000","5","Single Family Residence","Pending","https://onekeymls.com/home-details/267-hill-st-mineola-ny-11501/iIcV1HPpJfh"
"ejNHdSZfRIQ","6 Birchwood Ct Unit 4B, Mineola, NY 11501","325000","1","Stock Cooperative","Active","https://onekeymls.com/home-details/6-birchwood-ct-unit-4b-mineola-ny-11501/ejNHdSZfRIQ"
"7bwnRn0QNle","43 Westbury Ave, Mineola, NY 11501","1569000","5","Single Family Residence","Active","https://onekeymls.com/home-details/43-westbury-ave-mineola-ny-11501/7bwnRn0QNle"
"2ngDGWCURgE","448 Lewis Pl, Mineola, NY 11501","849999","4","Single Family Residence","Active","https://onekeymls.com/home-details/448-lewis-pl-mineola-ny-11501/2ngDGWCURgE"
"gqd6MLscc77","64 Cottage Pl, Mineola, NY 11501","1398000","4","Single Family Residence","Active","https://onekeymls.com/home-details/64-cottage-pl-mineola-ny-11501/gqd6MLscc77"
"fswe3Mcjhu5","3 Birchwood Ct Unit 1A, Mineola, NY 11501","249000","0","Stock Cooperative","Active","https://onekeymls.com/home-details/3-birchwood-ct-unit-1a-mineola-ny-11501/fswe3Mcjhu5"
"c1RPa2QXgf2","306 Latham Rd, Mineola, NY 11501","925000","3","Single Family Residence","Pending","https://onekeymls.com/home-details/306-latham-rd-mineola-ny-11501/c1RPa2QXgf2"
"hUTOp6LpFrt","100 Lincoln Ave Unit 3D, Mineola, NY 11501","369000","1","Stock Cooperative","Active","https://onekeymls.com/home-details/100-lincoln-ave-unit-3d-mineola-ny-11501/hUTOp6LpFrt"
"hk3qvgKtWW2","411 New Hyde Park Rd, New Hyde Park, NY 11040","999000","5","Manufactured Home","Active","https://onekeymls.com/home-details/411-new-hyde-park-rd-new-hyde-park-ny-11040/hk3qvgKtWW2"
"lG6CUX4tnyB","105 Moore St, New Hyde Park, NY 11040","1450000","5","Single Family Residence","Active","https://onekeymls.com/home-details/105-moore-st-new-hyde-park-ny-11040/lG6CUX4tnyB"
"jGYT2eI8deB","54 Camden Pl, New Hyde Park, NY 11040","1139000","3","Single Family Residence","Active","https://onekeymls.com/home-details/54-camden-pl-new-hyde-park-ny-11040/jGYT2eI8deB"
"lGupMuvvOkf","42 Celler Avenue, New Hyde Park, NY 11040","1649000","4","Single Family Residence","Active","https://onekeymls.com/home-details/42-celler-avenue-new-hyde-park-ny-11040/lGupMuvvOkf"
"9YvwyOR46wZ","529 7th Ave, New Hyde Park, NY 11040","1159000","6","Manufactured Home","Active","https://onekeymls.com/home-details/529-7th-ave-new-hyde-park-ny-11040/9YvwyOR46wZ"
"hHiKyFTFacD","47 Sperry Ct, New Hyde Park, NY 11040","1149000","4","Single Family Residence","Active","https://onekeymls.com/home-details/47-sperry-ct-new-hyde-park-ny-11040/hHiKyFTFacD"
"33czhAT3o9w","108 Marcus Ave, New Hyde Park, NY 11040","999999","3","Single Family Residence","Active","https://onekeymls.com/home-details/108-marcus-ave-new-hyde-park-ny-11040/33czhAT3o9w"
"iFmy0kKLvOM","710 Premier Blvd, New Hyde Park, NY 11040","899999","4","Single Family Residence","Active","https://onekeymls.com/home-details/710-premier-blvd-new-hyde-park-ny-11040/iFmy0kKLvOM"
"ao8i8v9hEva","102 Strattford Rd, New Hyde Park, NY 11040","1150000","4","Single Family Residence","Active","https://onekeymls.com/home-details/102-strattford-rd-new-hyde-park-ny-11040/ao8i8v9hEva"
"5EArZrLae8g","35 79th Ave, New Hyde Park, NY 11040","939000","3","Single Family Residence","Active","https://onekeymls.com/home-details/35-79th-ave-new-hyde-park-ny-11040/5EArZrLae8g"
"5RdjMMa4BmM","8275 Langdale St Unit 103A, New Hyde Park, NY 11040","409999","2","Stock Cooperative","Active","https://onekeymls.com/home-details/8275-langdale-st-unit-103a-new-hyde-park-ny-11040/5RdjMMa4BmM"
"aLQJ09b52ql","214 Park Ave, New Hyde Park, NY 11040","980000","4","Single Family Residence","Active","https://onekeymls.com/home-details/214-park-ave-new-hyde-park-ny-11040/aLQJ09b52ql"
"jyUBX9nykIq","159 South Dr, Manhasset Hills, NY 11040","1690000","4","Single Family Residence","Active","https://onekeymls.com/home-details/159-south-dr-manhasset-hills-ny-11040/jyUBX9nykIq"
"4aRMgGq5Hf6","1517 Falmouth Ave, New Hyde Park, NY 11040","898000","4","Single Family Residence","Active","https://onekeymls.com/home-details/1517-falmouth-ave-new-hyde-park-ny-11040/4aRMgGq5Hf6"
"b3OI31vOOcG","1902 Jericho Tpke, New Hyde Park, NY 11040","550000","","Business","Active","https://onekeymls.com/home-details/1902-jericho-tpke-new-hyde-park-ny-11040/b3OI31vOOcG"
"kbuSA6IDQiV","35 Rose Ln, New Hyde Park, NY 11040","1029000","4","Single Family Residence","Pending","https://onekeymls.com/home-details/35-rose-ln-new-hyde-park-ny-11040/kbuSA6IDQiV"
"asvGrsh8ahG","102 Kate Dr, New Hyde Park, NY 11040","1675000","4","Single Family Residence","Active","https://onekeymls.com/home-details/102-kate-dr-new-hyde-park-ny-11040/asvGrsh8ahG"
"kOAGeGdRskL","7 Dunhill Rd, Manhasset Hills, NY 11040","1898000","4","Single Family Residence","Active","https://onekeymls.com/home-details/7-dunhill-rd-manhasset-hills-ny-11040/kOAGeGdRskL"
"681HRgmQRjV","26919 81st Ave, New Hyde Park, NY 11040","874999","2","Single Family Residence","Coming Soon","https://onekeymls.com/home-details/26919-81st-ave-new-hyde-park-ny-11040/681HRgmQRjV"
"8nWYrUlnltx","2 Aster Dr, New Hyde Park, NY 11040","1148000","5","Single Family Residence","Pending","https://onekeymls.com/home-details/2-aster-dr-new-hyde-park-ny-11040/8nWYrUlnltx"
"7OWTfXGJIWZ","26 Knolls Dr, Manhasset Hills, NY 11040","1699999","4","Single Family Residence","Pending","https://onekeymls.com/home-details/26-knolls-dr-manhasset-hills-ny-11040/7OWTfXGJIWZ"
"4hjfacq1jak","627 10th Ave, New Hyde Park, NY 11040","869999","5","Single Family Residence","Pending","https://onekeymls.com/home-details/627-10th-ave-new-hyde-park-ny-11040/4hjfacq1jak"
"eMxkhtXYv6n","120 N 10th St, New Hyde Park, NY 11040","949000","5","Single Family Residence","Active","https://onekeymls.com/home-details/120-n-10th-st-new-hyde-park-ny-11040/eMxkhtXYv6n"
"eylR0bC9LrV","505 Leonard Blvd, New Hyde Park, NY 11040","748000","3","Single Family Residence","Pending","https://onekeymls.com/home-details/505-leonard-blvd-new-hyde-park-ny-11040/eylR0bC9LrV"
"bEmyRlq4iSn","12 Park Ave, New Hyde Park, NY 11040","748000","5","Single Family Residence","Pending","https://onekeymls.com/home-details/12-park-ave-new-hyde-park-ny-11040/bEmyRlq4iSn"
"37RleST6eAP","83 Stephan Marc Ln, New Hyde Park, NY 11040","999999","4","Single Family Residence","Active","https://onekeymls.com/home-details/83-stephan-marc-ln-new-hyde-park-ny-11040/37RleST6eAP"
"kBysCYKNl4Z","415 Leonard Blvd, New Hyde Park, NY 11040","949000","2","Single Family Residence","Active","https://onekeymls.com/home-details/415-leonard-blvd-new-hyde-park-ny-11040/kBysCYKNl4Z"
"8qcMCTqVsNq","14 N 4th St, New Hyde Park, NY 11040","899000","3","Single Family Residence","Active","https://onekeymls.com/home-details/14-n-4th-st-new-hyde-park-ny-11040/8qcMCTqVsNq"
"7syhHHIPWEW","2 Foxhurst Ct, Manhasset Hills, NY 11040","1768000","4","Single Family Residence","Active","https://onekeymls.com/home-details/2-foxhurst-ct-manhasset-hills-ny-11040/7syhHHIPWEW"
"dngZ9vKAPMl","547 N 11th St, New Hyde Park, NY 11040","950000","4","Duplex","Pending","https://onekeymls.com/home-details/547-n-11th-st-new-hyde-park-ny-11040/dngZ9vKAPMl"
"2Mwr89Ru4Ka","1822 Kent St, Westbury, NY 11590","1087000","3","Single Family Residence","Active","https://onekeymls.com/home-details/1822-kent-st-westbury-ny-11590/2Mwr89Ru4Ka"
"2bq8K0JM92r","11 Parkwood Rd, Westbury, NY 11590","800000","4","Single Family Residence","Active","https://onekeymls.com/home-details/11-parkwood-rd-westbury-ny-11590/2bq8K0JM92r"
"fJGJeGzN0A3","2020 Valentines Rd, Westbury, NY 11590","1498888","5","Single Family Residence","Active","https://onekeymls.com/home-details/2020-valentines-rd-westbury-ny-11590/fJGJeGzN0A3"
"ekaIGw2DOTl","177 Drexel Ave, Westbury, NY 11590","899000","4","Single Family Residence","Active","https://onekeymls.com/home-details/177-drexel-ave-westbury-ny-11590/ekaIGw2DOTl"
"7wS8eI3vtYX","1931 Stratford Dr, Westbury, NY 11590","2939000","6","Single Family Residence","Active","https://onekeymls.com/home-details/1931-stratford-dr-westbury-ny-11590/7wS8eI3vtYX"
"etgZBL0eiT9","32 W Cabot Ln, Westbury, NY 11590","835000","5","Single Family Residence","Active","https://onekeymls.com/home-details/32-w-cabot-ln-westbury-ny-11590/etgZBL0eiT9"
"4zpwXdamBd3","44 Bruce Ln, Westbury, NY 11590","1199000","4","Single Family Residence","Active","https://onekeymls.com/home-details/44-bruce-ln-westbury-ny-11590/4zpwXdamBd3"
"glYQkd3X8Mr","43 W Cabot Ln, Westbury, NY 11590","1799999","5","Single Family Residence","Active","https://onekeymls.com/home-details/43-w-cabot-ln-westbury-ny-11590/glYQkd3X8Mr"
"b0Gokijz3ze","916 Park Ave, Westbury, NY 11590","715000","3","Single Family Residence","Active","https://onekeymls.com/home-details/916-park-ave-westbury-ny-11590/b0Gokijz3ze"
"8K9tgeqA4mK","158 Wilson Ave, Westbury, NY 11590","1049000","4","Single Family Residence","Active","https://onekeymls.com/home-details/158-wilson-ave-westbury-ny-11590/8K9tgeqA4mK"
"eY1yfT3Y8eI","242 Maple Ave Unit 319, Westbury, NY 11590","489000","1","Condominium","Active","https://onekeymls.com/home-details/242-maple-ave-unit-319-westbury-ny-11590/eY1yfT3Y8eI"
"6yNjGPPVU2v","20 Flagstone Ln, Westbury, NY 11590","785000","6","Single Family Residence","Active","https://onekeymls.com/home-details/20-flagstone-ln-westbury-ny-11590/6yNjGPPVU2v"
"9vFzdkjoQMB","608 Carman Ave Unit C2, Westbury, NY 11590","674000","2","Condominium","Pending","https://onekeymls.com/home-details/608-carman-ave-unit-c2-westbury-ny-11590/9vFzdkjoQMB"
"3HOMRnUEMOw","72 Cypress Lane, Westbury, NY 11590","1699990","5","Single Family Residence","Active","https://onekeymls.com/home-details/72-cypress-lane-westbury-ny-11590/3HOMRnUEMOw"
"g4VOm5ba9LK","146 Longwood Ave, Westbury, NY 11590","1199000","4","Single Family Residence","Coming Soon","https://onekeymls.com/home-details/146-longwood-ave-westbury-ny-11590/g4VOm5ba9LK"
"4EjkpaRHKda","30 Hedge Ln, Westbury, NY 11590","1820000","5","Single Family Residence","Active","https://onekeymls.com/home-details/30-hedge-ln-westbury-ny-11590/4EjkpaRHKda"
"iBlkatSjxHN","161 Friends Ln, Westbury, NY 11590","899999","4","Single Family Residence","Pending","https://onekeymls.com/home-details/161-friends-ln-westbury-ny-11590/iBlkatSjxHN"
"l0H4h28Gfez","200 Saint Bridgets Lane, Westbury, NY 11590","895000","4","Single Family Residence","Pending","https://onekeymls.com/home-details/200-saint-bridgets-lane-westbury-ny-11590/l0H4h28Gfez"
"akWLF8EfWh5","343 Sylvan Ln, Westbury, NY 11590","899000","4","Single Family Residence","Active","https://onekeymls.com/home-details/343-sylvan-ln-westbury-ny-11590/akWLF8EfWh5"
"ajOadeE4V9J","97 Broadmoor Ln, Westbury, NY 11590","1149999","3","Single Family Residence","Active","https://onekeymls.com/home-details/97-broadmoor-ln-westbury-ny-11590/ajOadeE4V9J"
"4eryDfxKA6n","453 Dartmouth St, Westbury, NY 11590","775000","4","Single Family Residence","Pending","https://onekeymls.com/home-details/453-dartmouth-st-westbury-ny-11590/4eryDfxKA6n"
"9KVLJAtYiHh","900 Salisbury Park Dr, Westbury, NY 11590","2788888","5","Single Family Residence","Active","https://onekeymls.com/home-details/900-salisbury-park-dr-westbury-ny-11590/9KVLJAtYiHh"
"5P9fZZsMtqS","1037 Broadway, Westbury, NY 11590","575000","4","Single Family Residence","Pending","https://onekeymls.com/home-details/1037-broadway-westbury-ny-11590/5P9fZZsMtqS"
"lt3CipCFjdG","25 Cobalt Ln, Westbury, NY 11590","949000","4","Single Family Residence","Pending","https://onekeymls.com/home-details/25-cobalt-ln-westbury-ny-11590/lt3CipCFjdG"
"htBwqccU088","858 Oliver Ave, Westbury, NY 11590","699000","5","Single Family Residence","Active","https://onekeymls.com/home-details/858-oliver-ave-westbury-ny-11590/htBwqccU088"
"2zfiXZiLlWs","182 Friends Ln, Westbury, NY 11590","1798888","5","Single Family Residence","Active","https://onekeymls.com/home-details/182-friends-ln-westbury-ny-11590/2zfiXZiLlWs"
"l18wTdKWN9U","12 Patience Ln, Westbury, NY 11590","1699000","5","Single Family Residence","Active","https://onekeymls.com/home-details/12-patience-ln-westbury-ny-11590/l18wTdKWN9U"
"a7ZHmyvJHQ8","348 Trotting Ln, Westbury, NY 11590","889000","2","Condominium","Active","https://onekeymls.com/home-details/348-trotting-ln-westbury-ny-11590/a7ZHmyvJHQ8"
"3neerw7Fb0h","175 Maple Ave Unit 2M, Westbury, NY 11590","620000","2","Condominium","Active","https://onekeymls.com/home-details/175-maple-ave-unit-2m-westbury-ny-11590/3neerw7Fb0h"
"esgd2zBCC7V","365 Sheridan St, Westbury, NY 11590","600000","4","Single Family Residence","Active","https://onekeymls.com/home-details/365-sheridan-st-westbury-ny-11590/esgd2zBCC7V"
"3XABzS56Ct1","50 Commander Ave, Garden City, NY 11530","1149000","4","Single Family Residence","Active","https://onekeymls.com/home-details/50-commander-ave-garden-city-ny-11530/3XABzS56Ct1"
"3wRflOqQQZo","191 Brixton Rd S, Garden City, NY 11530","1159000","4","Single Family Residence","Active","https://onekeymls.com/home-details/191-brixton-rd-s-garden-city-ny-11530/3wRflOqQQZo"
"a33mrQ6wKeV","108 Tanners Pond Rd, Garden City, NY 11530","2899000","6","Single Family Residence","Active","https://onekeymls.com/home-details/108-tanners-pond-rd-garden-city-ny-11530/a33mrQ6wKeV"
"jJLLtLurCYY","11 1st Pl, Garden City, NY 11530","1059000","3","Single Family Residence","Active","https://onekeymls.com/home-details/11-1st-pl-garden-city-ny-11530/jJLLtLurCYY"
"18fHN8uAsNw","466 Croyden Rd, Garden City South, NY 11530","898000","4","Single Family Residence","Coming Soon","https://onekeymls.com/home-details/466-croyden-rd-garden-city-south-ny-11530/18fHN8uAsNw"
"oOvUj5gp9H","60 Kenwood Rd, Garden City, NY 11530","2250000","4","Single Family Residence","Pending","https://onekeymls.com/home-details/60-kenwood-rd-garden-city-ny-11530/oOvUj5gp9H"
"3LizdxTzYfY","78 Poplar St, Garden City, NY 11530","2385000","5","Single Family Residence","Active","https://onekeymls.com/home-details/78-poplar-st-garden-city-ny-11530/3LizdxTzYfY"
"ijJVqjKi97j","201 Kildare Rd, Garden City, NY 11530","1549000","3","Single Family Residence","Coming Soon","https://onekeymls.com/home-details/201-kildare-rd-garden-city-ny-11530/ijJVqjKi97j"
"aDdvrZ2E9c1","100 Hilton Ave Unit 907, Garden City, NY 11530","1250000","2","Condominium","Pending","https://onekeymls.com/home-details/100-hilton-ave-unit-907-garden-city-ny-11530/aDdvrZ2E9c1"
"1zco4NtaD18","123 Fifteenth Unit B1, Garden City, NY 11530","365000","1","Stock Cooperative","Coming Soon","https://onekeymls.com/home-details/123-fifteenth-unit-b1-garden-city-ny-11530/1zco4NtaD18"
"64ciM1s6ZEI","111 Cherry Valley Ave Unit 304, Garden City, NY 11530","1195000","2","Condominium","Pending","https://onekeymls.com/home-details/111-cherry-valley-ave-unit-304-garden-city-ny-11530/64ciM1s6ZEI"
"hHTvARgYCpT","38 Laurel St, Garden City, NY 11530","1399000","5","Single Family Residence","Pending","https://onekeymls.com/home-details/38-laurel-st-garden-city-ny-11530/hHTvARgYCpT"
"djrSQyqeBh9","111 Cherry Valley Ave Unit Ph4, Garden City, NY 11530","2499000","3","Condominium","Active","https://onekeymls.com/home-details/111-cherry-valley-ave-unit-ph4-garden-city-ny-11530/djrSQyqeBh9"
"edyweUUfGZF","221 Kensington Rd, Garden City, NY 11530","1895000","4","Single Family Residence","Active","https://onekeymls.com/home-details/221-kensington-rd-garden-city-ny-11530/edyweUUfGZF"
"4eBgFjJbGtx","96 Huntington Rd, Garden City, NY 11530","1499000","3","Single Family Residence","Active","https://onekeymls.com/home-details/96-huntington-rd-garden-city-ny-11530/4eBgFjJbGtx"
"exQFz4RjTf0","16 Linden St, Garden City, NY 11530","1299000","3","Single Family Residence","Active","https://onekeymls.com/home-details/16-linden-st-garden-city-ny-11530/exQFz4RjTf0"
"dHs36TyidlY","89 Poplar St, Garden City, NY 11530","1799000","5","Single Family Residence","Active","https://onekeymls.com/home-details/89-poplar-st-garden-city-ny-11530/dHs36TyidlY"
"1QaiWTzshms","8 Brixton Rd, Garden City, NY 11530","2688000","5","Single Family Residence","Pending","https://onekeymls.com/home-details/8-brixton-rd-garden-city-ny-11530/1QaiWTzshms"
"fYZ4mdk9SFE","154 Argyle Rd, Stewart Manor, NY 11530","975000","4","Single Family Residence","Active","https://onekeymls.com/home-details/154-argyle-rd-stewart-manor-ny-11530/fYZ4mdk9SFE"
"dFqm2niUZpn","65 Stewart Ave, Stewart Manor, NY 11530","799999","4","Single Family Residence","Active","https://onekeymls.com/home-details/65-stewart-ave-stewart-manor-ny-11530/dFqm2niUZpn"
"hlDCBRHPEqg","15 Glen Rd, Garden City, NY 11530","2998000","5","Single Family Residence","Active","https://onekeymls.com/home-details/15-glen-rd-garden-city-ny-11530/hlDCBRHPEqg"
